vaultbot_stuff\Knowledge\Research\Program-aided-language-models-and-structured-reasoning-for-small-models-PAL-prog.md | AMBIGUOUS | Note name looks relevant but content lacks clear VaultBot operational signals.
vaultbot_stuff\Knowledge\Research\Protocell-Theory-Origin-of-Life.md | AMBIGUOUS | Mixed signals: 2 operational keyword(s) and 9 generic topic keyword(s).
vaultbot_stuff\Knowledge\Research\Python-exec-function-with-restricted-globals-namespace-how-to-safely-execute-unt.md | AMBIGUOUS | Note name looks relevant but content lacks clear VaultBot operational signals.
vaultbot_stuff\Knowledge\Research\Python-watchdog-library-Windows-ReadDirectoryChangesW-reliability-missed-file-ev.md | AMBIGUOUS | Note name looks relevant but content lacks clear VaultBot operational signals.
vaultbot_stuff\Knowledge\Research\quorum-sensing.md | DELETE | Generic knowledge topic unrelated to vaultbot operations or identity.
vaultbot_stuff\Knowledge\Research\Quorum-sensing-in-bacteria-how-bacteria-communicate-using-autoinducers-molecular.md | DELETE | Generic knowledge topic unrelated to vaultbot operations or identity.
vaultbot_stuff\Knowledge\Research\Qwen25-05B-and-08B-model-benchmarks-capabilities-strengths-weaknesses-2025-what-.md | KEEP | Explicitly references VaultBot and contains operational or identity-relevant content.
vaultbot_stuff\Knowledge\Research\Qwen3-06B-and-17B-model-capabilities-benchmarks-strengths-weaknesses-and-practic.md | AMBIGUOUS | Mixed signals: 2 operational keyword(s) and 1 generic topic keyword(s).
vaultbot_stuff\Knowledge\Research\qwen3-small-models-06B-17B-4B-Ollama-benchmarks-strengths-weaknesses-2025-2026.md | AMBIGUOUS | Mixed signals: 2 operational keyword(s) and 1 generic topic keyword(s).
vaultbot_stuff\Knowledge\Research\RAG-adaptive-retrieval-when-should-a-RAG-system-retrieve-from-knowledge-base-vs-.md | AMBIGUOUS | Mixed signals: 1 operational keyword(s) and 1 generic topic keyword(s).
vaultbot_stuff\Knowledge\Research\RAG-evaluation-metrics.md | DELETE | Duplicate or auto-generated generic topic note with no vaultbot operational content.
vaultbot_stuff\Knowledge\Research\RAG-evaluation-metrics-how-to-measure-retrieval-quality-in-retrieval-augmented-g.md | DELETE | Duplicate or auto-generated generic topic note with no vaultbot operational content.
vaultbot_stuff\Knowledge\Research\ReAct-chain-of-thought-forced-step-by-step-execution-frameworks-that-prevent-LLM.md | DELETE | Substantial generic topical exposition with no vaultbot operational signals.
vaultbot_stuff\Knowledge\Research\Remove-Masking-Fallbacks.md | AMBIGUOUS | Note name looks relevant but content lacks clear VaultBot operational signals.
vaultbot_stuff\Knowledge\Research\Research-Note-Writing-Performance-Bottleneck.md | KEEP | Contains VaultBot-specific directives, design decisions, or operational research.
vaultbot_stuff\Knowledge\Research\researchrag-graph-retrieval-vs-graph-reasoning.md | DELETE | Lengthy generic content with no operational keywords or vaultbot relevance.
vaultbot_stuff\Knowledge\Research\Retrieval-augmented-reasoning-chains-RAG-for-reasoning-not-just-facts-retrieving.md | DELETE | Substantial generic topical exposition with no vaultbot operational signals.
vaultbot_stuff\Knowledge\Research\Safe-JS-Write-Research.md | KEEP | Contains VaultBot-specific directives, design decisions, or operational research.
vaultbot_stuff\Knowledge\Research\Science-of-Vibration-and-Resonant-Frequency.md | AMBIGUOUS | Mixed signals: 1 operational keyword(s) and 7 generic topic keyword(s).
vaultbot_stuff\Knowledge\Research\Self-Audit-Friction-Points.md | KEEP | Contains VaultBot-specific directives, design decisions, or operational research.
vaultbot_stuff\Knowledge\Research\Self-repairing-and-self-healing-software-systems-biological-wound-healing-applie.md | AMBIGUOUS | Mixed signals: 1 operational keyword(s) and 2 generic topic keyword(s).
